id owner collateral collateral-token collateral-type created-at-block-height debt is-liquidated leftover-collateral updated-at-block-height
277 SP1P6XE2GG0MBSQMQ6EKQVFND46RKHYQKH92VKBSY 0 xSTX STX-A 34642 115404716 True 4688150 62998
283 SP2TPJBHCWM5QWRQ6TGY1D91H91DMHHJ20PW4JP83 0 xSTX STX-A 34644 20000000 True 5412877 62998
284 SP24B77W7NZ924CVA4W9YYPV5Y6WRJRMY5Q8H8QXA 11824762 STX STX-A 34644 0 False 0 131926
292 SP1R9H5Z0F2P0VN97K82X66ZT7DEVJDXVH5EG5DH2 0 xSTX STX-B 34646 700000000 True 229639795 49794
294 SPPHTVGGPYGDWV8VQWG5YEWT53ZN38FWB8HJVKJ9 0 xSTX STX-A 34647 52401731 True 16817715 64117
296 SP1TND71PMH7PY7H464YCYR6Y23XT53DYXT06034F 0 xSTX STX-A 34647 3422340271 True 0 64071
298 SP33M793WRK2Q7CKV8T93JRB942KPJGXQ0H1DA9J3 500000000 STX STX-A 34648 0 False 0 49271
302 SP2A9XSN8MYK60BX67AVM8F5KSFC65EGKSVSWPTHF 0 xSTX STX-A 34648 9000000 True 43904 62998
307 SP3EVQ0GWNJAYTXMNKMDX6EWP06TXTX3RSE0RTNS4 180000000 STX STX-A 34650 7426072 False 0 82837
309 SP2KGGXYNK7P93RMJZXAKYBXA4Y1JZQZTWSYK8AGX 0 xSTX STX-A 34650 260000000 True 112701099 64117
310 SP8C31Q0BXR3JN4DQF2ZXRYFFASGEFP5BE5DR62N 0 xSTX STX-A 34650 219940047 True 0 59708
312 SP1E73BHBHC552C2FCNJBHYY398NG9YGMDCRYSS7V 0 xSTX STX-A 34652 725000000 True 0 62998
314 SP2CCXSJQDEXQYTV5MWFTTK6SWMCPGY2G05DS1MM6 100000000 STX STX-A 34652 0 False 0 131836
316 SP1A6BJNST4XNQYT6HKCZ5KX3G0DAWTMK34P7BHYX 0 STX STX-A 34652 51322852 True 28249541 64068
319 SP16NP5N4Q9J3N5AZY91XAW2XNE11E9CNMQPA7MR8 0 xSTX STX-A 34655 100000000 True 0 62998
321 SP1MVN4WTAEA9AMNJT7QCAFXMQ1A9EBN58Y5FE2NE 0 xSTX STX-A 34655 3000000 True 0 62998
324 SP2E85Y7SJAPEET3RG6X79AMCSSEMP28M09W0V026 220000000 STX STX-A 34656 611 False 0 59696
325 SP1V5JHZK64JB2RD2VXVH2T5MS5WE8J3T33YEJTQJ 100000000 STX STX-A 34656 179208 False 0 44092
327 SPF2HF3JRTJ37F8FABR025TP2YSK1W7751Q7MTRV 0 xSTX STX-B 34658 374000000 True 111120301 49851
329 SP3KFNCCPKPCGMFKMVCCGK877M9VTD23Q9JNSR4TD 25000000 STX STX-A 34658 0 False 0 45334
337 SP2BHZ4GDZBP12WGWH0GGVF3ZNVGYWTWN6B7P3QXY 200000000 STX STX-A 34661 0 False 0 39659
339 SP34J4X76MEBK9KG45ZFG8ZQSDENY7PSV4A5E91EW 0 xSTX STX-A 34661 165000000 True 0 62998
342 SPHPGBNFA4PK7NCVWXZ75CPPRA9Y8W0P6G7GV8KA 0 STX STX-B 34662 1880049090 True 0 59739
343 SPP6TX1NNVT34BTJT275VK1VSGB6R5TZJ5V397TR 249390106 STX STX-A 34663 31777608 False 0 83039
344 SP2KQPVBJWNSNG9VSZV3YGZHPRG2ECQCBK2HQDCV 904000000 STX STX-A 34663 10000000 False 0 34663
345 SP3SKQXRJCZ1HPJV4JCH4EC78RRTQP3Y3M33TARHQ 50000000 STX STX-A 34663 0 False 0 61224
346 SP1EDW8XD27MMDYAQPS3HXZGPH09VZ804N0GB2C6E 0 xSTX STX-A 34663 592723845 True 469180682 82836
348 SP2A2PRP42YGGJPRC59MJ44JM8ZFCNCNZSCGKW3QS 0 xSTX STX-A 34664 250000000 True 0 63000
351 SP2JWXVBMB0DW53KC1PJ80VC7T6N2ZQDBGCDJDMNR 0 STX STX-A 34664 4000000000 True 1082575353 59749
353 SPPHTVGGPYGDWV8VQWG5YEWT53ZN38FWB8HJVKJ9 0 xSTX STX-A 34665 334590803 True 0 64068
357 SP325DAYKWK2AST79G24TTJ9E28CBEESGRG9XWCAF 0 xSTX STX-B 34666 38223333 True 17524188 63000
358 SP28QESDAEJ94D43QVFEPS51J7YVB4YW4XH2N66V7 9000000 STX STX-A 34666 0 False 0 58723
360 SP3C5ECA2QFB2XF6BTBY3Z006NVTDKNHJM1NTMQT 0 xSTX STX-A 34667 74202924778 True 0 69433
361 SP2TPJBHCWM5QWRQ6TGY1D91H91DMHHJ20PW4JP83 0 xSTX STX-B 34667 15000000 True 0 64114
364 SP20T2Y5FEBRR6D42RG109CB7VJ0BGCMT9BY3K2VF 0 xSTX STX-A 34668 475000000 True 0 63000
365 SPRP8E2B66J9C58QRC2F98P3YJ11GC33JK7YRCTN 0 xSTX STX-A 34668 35000000 True 18996642 63000
366 SP3V9TP8NJ704HQPE7M419B0G3ZMGBK53F77E1V27 779196118 STX STX-A 34669 59408242 False 0 120757
367 SP2CA5EG4H3V340PGGJWHBCVHZR2KE08CNGQN7FFJ 925489372 STX STX-A 34669 99772877 False 0 78280
368 SP3C2VS575PFCYXGDABYDD6TYVDYF51SF88QBCEGF 10000000000 STX STX-A 34669 1613076990 False 0 59437
370 SP1W5CWFJWXGHHM4ZEAJWFQ6D9V3N5GB9VQEDYSED 700000000 STX STX-A 34669 25000000 False 0 36024
371 SP18SSC4VPYF2190FFECHR0SR1YB7T2BAXT96EN5P 0 xSTX STX-A 34670 45000000 True 0 63000
373 SP2R58JQ881P7QSBXQBF1H2N5CEYX8P06H4DS9B3 0 xSTX STX-A 34671 850000000 True 144239820 64114
374 SP1WH1R5S238SDR0X087814JRQEX5BHCVYY2JBPRP 0 xSTX STX-A 34671 2150000000 True 421764742 63000
375 SPYMQGWH0SXVZQY2R46CYWVX1CEVHHV34H76DC49 0 xSTX STX-A 34671 20000000 True 0 63000
381 SPYR8YP15S1QAWCJ8TCVXAYJ2F57VD593ECRXMXT 0 xSTX STX-A 34674 57000000 True 0 63000
385 SP2PBWZ78B6Y7AS786B5RAZZ9NZKBFQZ62FYHP6WN 450000000 STX STX-A 34676 57648892 False 0 59591
388 SP2K2Y277FZ48627S2PGDH0Q0J0GBJCYSY4QYNPK6 0 xSTX STX-A 34677 776130562 True 381138932 63000
390 SPK2780EBGCJG5BQKS62JG0SBPNBYNMYYF5XYFPE 0 STX STX-A 34678 2552 True 10 64068
391 SP7RK2XD2KB2S4XAZ1K74HCGWXZ4JSYBAK6893Q2 0 xSTX STX-A 34678 1819000000 True 0 59619
394 SP18ZQRE3N8RNMYGMASDZXV4XGYEZMA8JSHAK31Q8 10325431718 STX STX-A 34678 1134126668 False 0 129886
395 SP1HW4T07QJX7MTYQMSNZZ4CVPXHSJYBN6N4ANJTM 0 xSTX STX-A 34678 150000000 True 0 64114
397 SP4S58QY6PY66F18MQWRDVTC3R9NM7W0MMHS363W 0 xSTX STX-B 34679 114670000 True 30768352 49851
398 SP1YR8XPY3JJZXQ91MMFTE1FT7RA7DF6NAWMQ2C84 0 xSTX STX-A 34679 17177738213 True 1527932826 63000
402 SP28KM60ZBE7SPYGHNBCJQHYMPB7DEYYTX7R9H1T4 2340000 STX STX-A 34681 254868 False 0 35512
403 SP2TM156EEV0Z11CD21Z8MSCWKG6BT2A1AQWQN6HA 612307079 STX STX-A 34681 81465488 False 0 64086
407 SPYR8YP15S1QAWCJ8TCVXAYJ2F57VD593ECRXMXT 0 xSTX STX-A 34684 63000000 True 0 63000
408 SP17BWXNG7KYWCR7W6QCM771HTWNDR0K56C6TDRAP 0 xSTX STX-A 34684 34000000 True 0 59707
409 SPYK7WJCM4PMCEH4CCM4FHA3RTG946QKJBNN5553 0 xSTX STX-A 34684 3613495000 True 1382887888 63000
414 SP2DCZAFH72S458MNV9SEE3Q983V9CJG49X2J3P7G 0 xSTX STX-A 34686 2750000000 True 881175677 64114
416 SP2MN9BT5230AM8YPXK4JVYRMAXJ6G3VZ206ZS8X1 1000000000 STX STX-A 34686 2884542 False 0 59991
417 SP26ZSXREMGCD8M71Y4FVA17QBC42EV0VM3HPVXYQ 500385912 STX STX-A 34686 38261307 False 0 122849
418 SPVY7SXW4WWJ8DV2664DNS3SW8CZCCD3HSMCZ05M 0 xSTX STX-B 34686 2000000 True 0 63000
419 SPN4Y5QPGQA8882ZXW90ADC2DHYXMSTN8VAR8C3X 100000000 STX STX-A 34686 347852 False 0 52996
420 SP20T2Y5FEBRR6D42RG109CB7VJ0BGCMT9BY3K2VF 0 xSTX STX-A 34686 1674000000 True 0 63000
422 SP2G8V5G9CAQ73XMX56VENNTHH7QNZRPR55YMAYBY 0 xSTX STX-A 34689 700000000 True 0 59619
423 SP14E544B2FY8BSKTV5V7W8NCRYX2B7NXRQ7B7NJ9 0 xSTX STX-A 34690 240000000 True 0 63741
